,chave,store_id
0,27240126501271000114650010002127801002924313,0
1,27240105154589000449654130001328461801201833,1
2,27240141185455001501651360003026001546585880,2
3,35240245543915031060650360000243311989463062,3
4,35240245543915063426650030005386781786758377,4
